노선번호,노선명,노선별정류장순번,정류장번호,정류장명,위도,경도,데이터기준일
250000201,2-S,75,250001564,도민일보,37.890220,127.743040,2021-09-09
250000201,2-S,76,250001375,기계공고,37.890500,127.746160,2021-09-09
250000201,2-S,77,250026618,공단입구,37.890860,127.749960,2021-09-09
250000201,2-S,78,250001753,강동농협장학지점,37.891710,127.753480,2021-09-09
250000201,2-S,79,250001756,강원고교,37.895100,127.755930,2021-09-09
250000201,2-S,80,250026921,춘천여고앞,37.885980,127.761550,2021-09-09
250000300,3,1,250001211,후평동종점,37.893240,127.748670,2021-09-09
250000300,3,2,250001377,춘천기계공고,37.891110,127.749000,2021-09-09
250000300,3,3,250001873,정부합동청사,37.888880,127.749280,2021-09-09
250000300,3,4,250026642,강원도시가스,37.886100,127.748190,2021-09-09
250000300,3,5,250001685,신성교회,37.885080,127.746760,2021-09-09
250000300,3,6,250001332,토우시장,37.883120,127.747670,2021-09-09
250000300,3,7,250001293,포스코후문,37.881700,127.746750,2021-09-09
250000300,3,8,250001336,크로바A,37.880500,127.744080,2021-09-09
250000300,3,9,250002227,봉의중학교,37.879320,127.741490,2021-09-09
250000300,3,10,250001658,교동초교입구,37.877800,127.738120,2021-09-09
250000300,3,11,250001545,동부시장,37.876590,127.734280,2021-09-09
250000300,3,12,250001914,육림고개,37.877170,127.730710,2021-09-09
250000300,3,13,250002077,명동입구,37.879610,127.728650,2021-09-09
250000300,3,14,250002029,명동입구,37.879710,127.726680,2021-09-09
250000300,3,15,250001848,중앙시장/중앙초교,37.878350,127.724990,2021-09-09
250000300,3,16,250001202,중앙시장환승센터,37.877070,127.723080,2021-09-09
250000300,3,17,250001349,춘천시보건소,37.876210,127.720840,2021-09-09
250000300,3,18,250001353,춘천중학교,37.875270,127.717690,2021-09-09
250000300,3,19,250001684,공지사거리,37.874310,127.714600,2021-09-09
250000300,3,20,250001862,조각공원,37.873070,127.713860,2021-09-09
250000300,3,21,250001989,온의금호1차,37.868720,127.715820,2021-09-09
250000300,3,22,250001985,럭키A,37.866570,127.718210,2021-09-09
250000300,3,23,250002081,시외버스터미널,37.864110,127.719760,2021-09-09
250000300,3,24,250001903,은행나무공원,37.861950,127.719690,2021-09-09
250000300,3,25,250001621,남춘천중학교,37.860590,127.721390,2021-09-09
250000300,3,26,250001307,한진한성,37.859450,127.723130,2021-09-09
250000300,3,27,250001306,퇴계현대1차,37.857920,127.726430,2021-09-09
250000300,3,28,250001326,퇴계동입구,37.859300,127.727630,2021-09-09
250000300,3,29,250001325,퇴계우성A,37.859980,127.730210,2021-09-09
250000300,3,30,250026588,퇴계환승센터,37.857230,127.735250,2021-09-09
250000300,3,31,250001846,중앙하이츠1차,37.854450,127.736730,2021-09-09
250000300,3,32,250026543,홈플러스,37.850790,127.735240,2021-09-09
250000300,3,33,250001330,퇴계금호A,37.849070,127.738810,2021-09-09
250000300,3,34,250001316,퇴계주공6차,37.851220,127.741010,2021-09-09
250000300,3,35,250001315,퇴계주공6차,37.851420,127.741570,2021-09-09
250000300,3,36,250026661,춘천고용복지센터,37.851510,127.744650,2021-09-09
250000300,3,37,250026660,스무숲입구,37.850550,127.748700,2021-09-09
250000300,3,38,250002018,현진에버빌1차,37.850340,127.747350,2021-09-09
250000300,3,39,250002017,퇴계주공6단지,37.851240,127.743000,2021-09-09
250000300,3,40,250001314,퇴계주공6차A,37.851150,127.740790,2021-09-09
250000300,3,41,250001310,퇴계한주A,37.849190,127.738980,2021-09-09
250000300,3,42,250001309,홈플러스,37.850900,127.735440,2021-09-09
250000300,3,43,250001843,중앙하이츠1차,37.854560,127.737260,2021-09-09
250000300,3,44,250026587,퇴계환승센터,37.857890,127.734640,2021-09-09
250000300,3,45,250001171,퇴계우성A,37.859830,127.731100,2021-09-09
250000300,3,46,250001327,남부초교,37.859310,127.727430,2021-09-09
250000300,3,47,250001305,퇴계현대1차,37.858580,127.725020,2021-09-09
